age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
34.0, Private,153642.98, Some-college,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,164026.05, Prof-school,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,45.0, Peru, <=50K
39.0, Private,220850.33, Some-college,9.0, Never-married, Exec-managerial, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,154660.75, Masters,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
32.0, Private,262275.16, Assoc-acdm,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,229766.17, Some-college,9.0, Divorced, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
48.0, Private,188423.27, 10th,9.0, Married-spouse-absent, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,174190.31, Some-college,13.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,70.0, Peru, <=50K
46.0, Private,212875.61, 10th,9.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
22.0, Private,146991.25, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,170402.52, Prof-school,10.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,234182.86, Masters,13.0, Never-married, Protective-serv, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
49.0, Private,214717.86, Masters,13.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,30.0, Peru, <=50K
34.0, Private,224198.02, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
29.0, Private,200235.14, Some-college,9.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, Peru, <=50K
49.0, Private,203170.03, Some-college,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,174431.34, Assoc-acdm,10.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,36.0, Peru, <=50K
51.0, Private,190932.31, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,162914.75, Prof-school,10.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
27.229021, Private,217299.06, Prof-school,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Ireland, <=50K
58.0, Private,200350.2, 10th,14.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
34.0, Private,253426.08, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,43.0, Peru, <=50K
49.0, Private,226136.55, Masters,9.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
36.0, Private,195140.86, Some-college,10.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,173572.48, Assoc-acdm,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,55.09407, Peru, <=50K
33.0, Private,172878.52, Prof-school,14.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
48.0, Private,217933.53, Assoc-acdm,13.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
65.0, Private,265670.12, Prof-school,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
42.0, Private,217605.1, Prof-school,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, >50K
32.0, Private,218767.36, Some-college,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,227212.22, Some-college,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,213847.6, Masters,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,149319.2, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
36.0, Private,251458.55, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
22.0, Private,165178.39, Some-college,13.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.53021, Private,164502.9, Masters,15.0, Never-married, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, Peru, >50K
32.0, Private,222926.6, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,50.0, Peru, <=50K
41.0, Private,154344.62, Prof-school,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,223126.34, Some-college,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, Peru, <=50K
26.0, Private,228747.03, Assoc-acdm,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,196520.1, Assoc-acdm,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
46.35153, Private,193845.06, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,38.0, Peru, <=50K
27.0, Private,191789.5, 10th,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,190956.19, 10th,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
30.0, Private,222153.05, Prof-school,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
36.0, Private,204830.61, Masters,10.0, Never-married, Priv-house-serv, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
26.0, Private,189046.66, Assoc-acdm,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,152108.84, Prof-school,10.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
34.0, Private,148620.88, Prof-school,9.0, Never-married, Transport-moving, Not-in-family, White, Female,0.0,0.0,40.0, Peru, <=50K
42.0, Private,162333.83, Some-college,10.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
36.0, Private,155835.83, Some-college,10.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Private,159291.98, Some-college,10.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Private,151804.92, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,222790.25, Masters,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,163287.06, Some-college,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Private,204472.62, Masters,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
47.0, Private,158729.27, Masters,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,163626.52, Masters,9.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
27.0, Private,175325.67, 10th,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,25.0, Peru, <=50K
30.0, Private,150437.25, Masters,12.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
23.0, Private,209816.42, Prof-school,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,249115.94, Some-college,13.0, Married-spouse-absent, Protective-serv, Other-relative, White, Male,0.0,0.0,44.023987, Peru, >50K
36.0, Private,196512.47, 10th,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
45.0, Private,154959.27, Some-college,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,45.0, Peru, <=50K
46.0, Private,162625.2, Some-college,9.466449, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
42.0, Private,200076.64, Some-college,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,211826.55, 10th,10.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
54.719696, Private,233039.17, Assoc-acdm,9.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,50.0, Peru, <=50K
50.0, Private,154715.75, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,214787.27, Assoc-acdm,10.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,175938.89, Prof-school,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,38.0, Peru, <=50K
37.0, Private,163999.38, Assoc-acdm,10.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
51.0, Never-worked,194353.56, Masters,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
65.874985, Private,211710.3, Assoc-acdm,10.0, Never-married, Protective-serv, Own-child, White, Male,0.0,0.0,35.0, Peru, <=50K
42.0, Private,211538.69, Masters,14.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
53.0, Private,202961.83, Masters,15.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,30.0, Peru, <=50K
38.0, Private,190879.4, Some-college,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,30.0, Peru, <=50K
42.0, Private,168175.27, Masters,14.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,65.0, Peru, <=50K
61.07172, Private,220652.17, Masters,9.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,169057.47, 7th-8th,10.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,45.0, Peru, <=50K
34.0, Private,202417.42, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
46.0, Private,167169.77, Some-college,9.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
26.0, Private,215433.94, Prof-school,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,191111.06, Assoc-acdm,14.0, Never-married, Sales, Not-in-family, White, Male,7688.0,0.0,40.0, Peru, >50K
35.0, Private,220170.92, Assoc-acdm,10.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,218534.77, Some-college,14.0, Married-spouse-absent, Protective-serv, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
49.0, Private,183208.58, 10th,9.0, Never-married, Priv-house-serv, Husband, White, Male,0.0,0.0,40.0, Peru, <=50K
40.00811, Private,240852.66, Assoc-acdm,13.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
47.0, Private,162256.55, Some-college,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, Peru, <=50K
39.0, Private,169577.58, Some-college,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
31.0, Private,234781.05, Some-college,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,211350.0, Prof-school,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,38.0, Peru, <=50K
33.0, Private,160274.47, Prof-school,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, >50K
47.0, Private,205189.45, 10th,13.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,167161.67, Some-college,9.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,35.0, Peru, <=50K
53.0, Private,160037.81, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
29.0, Private,153599.33, Masters,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
45.0, Private,188985.1, Masters,13.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,80.0, Peru, <=50K
40.0, Private,278046.16, Some-college,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Never-worked,221214.89, 10th,9.0, Never-married, Protective-serv, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
47.0, Private,274328.9, Assoc-acdm,13.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
65.0, Private,200731.58, Prof-school,14.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
47.0, Private,213213.53, Masters,13.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,53.27673, Peru, <=50K
45.0, Private,240574.28, Assoc-acdm,10.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
47.0, Private,170757.7, 10th,14.0, Married-spouse-absent, Exec-managerial, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
21.0, Private,156869.97, Masters,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
28.0, Private,212881.06, Masters,13.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,25.0, Peru, <=50K
48.0, Private,159899.8, Assoc-acdm,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,248199.31, Some-college,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,156446.47, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,35.0, Peru, <=50K
34.0, Private,194437.52, Assoc-acdm,10.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
45.0, Private,231149.27, 10th,11.0, Married-spouse-absent, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Private,200814.72, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
42.0, Private,144506.28, Some-college,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, >50K
40.0, Private,223951.23, Masters,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,157749.78, Assoc-acdm,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,231277.19, Assoc-acdm,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,157233.73, Masters,10.0, Never-married, Protective-serv, Own-child, White, Male,0.0,0.0,30.0, Peru, <=50K
44.0, Private,157739.1, Assoc-acdm,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,65.0, Peru, <=50K
31.0, Private,301467.1, Masters,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, Peru, <=50K
31.0, Private,198073.36, Some-college,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
30.0, Private,155911.3, 10th,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,149366.1, Masters,9.0, Married-spouse-absent, Exec-managerial, Own-child, White, Male,0.0,0.0,60.0, Peru, <=50K
42.0, Private,210221.14, Some-college,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,75.0, Peru, <=50K
28.0, Private,199901.78, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
31.0, Private,201405.67, Assoc-acdm,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,146476.69, Some-college,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
28.0, Private,256629.9, Masters,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Never-worked,164702.05, Some-college,9.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, Peru, <=50K
39.0, Private,149885.6, Masters,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,185080.92, Some-college,9.0, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0.0,0.0,49.30295, Peru, <=50K
30.0, Private,154217.66, Masters,14.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,210405.14, Masters,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,249041.19, Some-college,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
65.48513, Private,149115.5, 7th-8th,9.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
30.007643, Private,265916.72, Some-college,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,25.0, Peru, <=50K
49.0, Private,212308.2, Assoc-acdm,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
62.0, Private,197316.06, Masters,13.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
20.0, Private,173988.6, Some-college,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,36.48641, Peru, <=50K
54.0, Private,160872.22, 7th-8th,14.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
31.0, Private,209243.42, Some-college,14.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
65.0, Private,203782.03, Prof-school,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,50.0, Peru, <=50K
54.0, Private,196099.89, Masters,10.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,166549.83, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
51.0, Private,261217.75, Masters,14.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,142010.92, Masters,10.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, >50K
42.0, Private,280123.66, Assoc-acdm,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,35.0, Peru, <=50K
34.0, Private,230156.88, Assoc-acdm,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
42.0, Private,202186.72, Assoc-acdm,14.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
56.0, Private,226371.12, Some-college,14.0, Never-married, Protective-serv, Other-relative, White, Female,0.0,0.0,40.0, Peru, <=50K
44.0, Private,159719.95, Some-college,9.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, >50K
33.0, Private,210319.28, Some-college,11.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,194702.52, Masters,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
46.0, Private,264689.56, Masters,10.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
32.0, Private,231840.86, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Private,256276.55, Some-college,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,222060.89, 10th,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
49.0, Private,225271.11, Masters,9.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
52.0, Private,148809.12, Masters,14.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,60.0, Peru, <=50K
29.0, Private,152770.44, Some-college,9.0, Never-married, Protective-serv, Own-child, White, Male,0.0,0.0,38.0, Peru, <=50K
38.0, Private,152206.12, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,36.0, Peru, <=50K
51.0, Private,227842.31, Masters,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,141290.9, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,35.0, Peru, <=50K
43.0, Local-gov,161860.47, Masters,9.0, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
29.0, Private,208405.44, Prof-school,14.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
50.0, Private,267950.0, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
36.0, Private,236538.4, Masters,14.0, Married-spouse-absent, Sales, Other-relative, White, Male,0.0,0.0,85.60015, Peru, <=50K
37.17293, Private,151334.81, 10th,9.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,209669.67, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
34.0, Private,232890.7, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,147868.67, Assoc-acdm,15.0, Married-spouse-absent, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
30.0, Private,227715.3, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
34.0, Private,215517.39, Some-college,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,35.0, Peru, <=50K
40.0, Private,168991.78, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,232267.78, Masters,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, >50K
41.467484, Private,234656.47, Some-college,14.0, Never-married, Craft-repair, Not-in-family, White, Male,88.74936,0.0,40.0, Peru, <=50K
37.0, Private,176673.11, Assoc-acdm,13.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,162226.36, Masters,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
41.0, Private,199264.66, Assoc-acdm,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
46.0, Private,155735.69, 10th,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,259023.0, Masters,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
38.0, Private,154979.05, Some-college,10.0, Married-spouse-absent, Sales, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
44.0, Private,156909.36, Masters,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
43.0, Private,226458.81, Some-college,13.0, Never-married, Craft-repair, Husband, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,158360.12, Some-college,9.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,203749.05, Some-college,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
39.0, Private,137841.2, Masters,9.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
32.0, Private,235237.84, Some-college,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
